time_stamp,tweet_text,url,user_id,user_name,user_screen_name,user_bio,user_location
2019-09-12 23:59:59,"RT @cthulhu4america: Yet another night full of falsely pledged impossible promises, and, in the case of Joe Biden, totally forgotten in the…",[],3092678020,Darick Oswalt ✈️ 🔜 TwitchCon,thatCHARM3R,Freelance #esports talent. #Twitch & #Discord partner. #YouTube channel: https://t.co/d9BrOTf92g Twitch: https://t.co/Z3mhIckZ72 Business email: info@charm3r.com,"Michigan, USA"
2019-09-12 23:59:59,"RT @YangGang20206: I'm loving everyone's #MyYangStory responses! #YangGang you're amazing. 

#ISupportYang #DemocraticDebate",[],701111114931707905,StarshipYang,RichardJKilshaw,#YangGang #yangbot   1 Elon Musk puts YANG2020 up the side of STARSHIP in giant letters 2 Trump loses it 3 Andrew Yang becomes POTUS 4 Humanity goes to MARS,"Portland, OR"
2019-09-12 23:59:58,"RT @KyleKulinski: ABC News hosts are saying democrats don't want infighting. This is a fucking primary. ""infighting"" is the entire point! W…",[],2596659379,Cooper,pripensi_en,"college student, civil libertarian, humanist, esperantist | esperanto @pripensi (https://t.co/uTvjKz9izm)",United States
2019-09-12 23:59:58,"RT @KyleKulinski: ABC News hosts are saying democrats don't want infighting. This is a fucking primary. ""infighting"" is the entire point! W…",[],2916428957,Eric Gillikin 🌹,Eriquimus_Prime,"A friend to most. Retweets + links are not endorsements. I’m a street rat, I’ll improvise. 🇺🇸🏳️‍🌈🧞‍♂️❤️Email: EGillikinpurple@gmail.com",United States
2019-09-12 23:59:58,"RT @DrewBiemer: It’s clear that @TheDemocrats 2020 strategy revolves around one central theme:

Convince 51% of the population that they’re…",[],3582790755,DejaVu,Anonymous603207,,
2019-09-12 23:59:58,#DemocraticDebate Getting ready to live tweet the debate!,[],14851523,(((MarciaGYerman))),mgyerman,"Writer/Activist/Artist focusing on Women's Issues, Environment, Human Rights, and Culture.",NYC
2019-09-12 23:59:57,RT @dank_ellie: #MyYangStory #isupportyang Excited to watch the #DemocraticDebate tonight and support @AndrewYang. Try to find your local #…,[],758960446669860868,Tahlula Park,TahlulaPark,#Humanityfirst #AndrewYang #ElonforYang #YangGang #SaidaboutYang #Freedomdividend #Yang2020 #ISupportYang #YangGang #Yangsclimateplan #MyYangStory,
2019-09-12 23:59:57,RT @michaeljknowles: Can't wait to join @scrowder during tonight's guaranteed trainwreck of a #DemocraticDebate! https://t.co/0Dqp8SF5eR,"[{'url': 'https://t.co/0Dqp8SF5eR', 'expanded_url': 'https://www.youtube.com/watch?v=kcL6isfxDtc&feature=youtu.be', 'display_url': 'youtube.com/watch?v=kcL6is…', 'indices': [113, 136]}]",743055723756720128,Kevin Watson,Smetrius01,,
2019-09-12 23:59:57,"RT @w_terrence: At the #DemocraticDebate they will be talking about banning Double Cheese Burgers &amp; Fries!

I NEED EVERY AMERICAN TO HELP M…",[],934785902,Mom Mary,coff33loveit,Just Me,
2019-09-12 23:59:57,"Advice to Candidates for #DemocraticDebate  #DemDebate:

Do not attack each other. 
Attack Trump. 
Attack Mitch McConnell. 
Attack the GOP who won't even hold primaries.",[],324455870,@PeggyBrava™ #Resist,PeggyBrava,::sigh::  Zen. Birds. Books. Garden. Politics. Ireland. Pescetarian. Democrat. ToppleThePatriarchy. I'm 82% Irish so sod off. #Resistance #45 is illegitimate.,
2019-09-12 23:59:56,"RT @JeSSelsener: #DemocraticDebate  #DemDebate #DemDebate3 
He's been hiding under the stage for 5 hours.  He's ready.  Are you? https://t.…",[],1686601106,Amanda Helen,midnightime23,Vice President and CCO of @superkickFNDN (disclaimer: all views are my own & do not represent any brand nor company I may work for/with),"Vanaheim, Hanging by a Moment"
2019-09-12 23:59:56,RT @abc3340: LIVE NOW: Twenty-two Greenpeace USA protesters have formed a blockade over the Fred Hartman Bridge in Houston ahead of the thi…,[],55374944,Debbie #WWG1WGA,debbiered15,#WWG1WGA #MAGA #QArmy 🇺🇸🦅🦓,USA
